,date,price_(close),price_(high),price_(low),price_(open),circulating_marketcap,circulating_supply,supply_pct
1768,2016-11-14,705.6024640819085,713.85,695.5952259591505,702.6461811707692,11264934608.53305,15989887.98722232,0.0001345973140083334
1767,2016-11-15,712.8257990262845,719.4638625791465,700.1449954098089,705.4480390747614,11270189091.78148,15991839.7638264,0.00012206318178331621
1766,2016-11-16,746.679437106048,746.8186373159097,705.69,712.6780731039204,11412559999.530842,15993979.86952486,0.00013382485880719663
1765,2016-11-17,735.8049580029385,758.1846610691447,732.94,746.2754874290256,11960948406.51797,15995969.87725137,0.00012442229781095548
1764,2016-11-18,750.1668563262326,773.58,731.4031658315527,737.070631192118,11795072586.327938,15997822.31132994,0.00011580629951080113
1763,2016-11-19,758.3367208655956,764.0629694205206,743.1119315383924,747.7255169268432,12040304048.794498,15999599.22559802,0.00011107225930495623
1762,2016-11-20,730.9120165512257,772.95,715.9852390588788,756.4688816380528,12133021238.39065,16001201.19185139,0.00010012539881665283
1761,2016-11-21,738.1626292232111,749.89,728.6572712374305,733.1282915641036,11711028140.597864,16002941.26009843,0.00010874610138178475
1760,2016-11-22,749.6946517614667,755.16856073489,729.4,740.178714251791,11849045646.511002,16004618.73020634,0.00010482261233391021
1759,2016-11-23,740.7169669252177,753.6772887125925,730.7690723027733,750.7634164815081,12026537891.011831,16006459.92092412,0.00011504121084149332
1758,2016-11-24,736.4401671792098,755.2104499135758,728.0691152627599,744.9304729936682,11921376640.774946,16008488.11711833,0.00012671110315642942
1757,2016-11-25,739.0326274062838,747.3260938817091,727.3151111975558,735.7434981574353,11813428532.884443,16010391.5285598,0.0001189001376984411
1756,2016-11-26,736.5652879674067,749.6,722.9940720393794,737.9012609614426,11828490473.788387,16012306.96400946,0.00011963701488770795
1755,2016-11-27,729.4272782391799,746.2000000019608,724.0504626685005,737.5409259923405,11763112935.205051,16014109.08860099,0.00011254621807954557
1754,2016-11-28,736.0960604825702,743.8689040710207,727.1027419604508,727.2349720260693,11698944443.835712,16016162.20294305,0.00012820659149381797
1753,2016-11-29,731.4229921288309,754.1,727.5272391219153,735.6437117747499,11772155724.325466,16018028.21307719,0.00011650794431861122
1752,2016-11-30,744.9909957259695,751.4576129279667,729.0323973519818,734.7198041400886,11736371157.062153,16019806.45213903,0.0001110148538998601
1751,2016-12-01,753.1592065994025,756.7015157282808,741.1132346190997,742.6601231560617,11956838349.935352,16021634.15009265,0.00011408988985484037
1750,2016-12-02,779.3096916536163,788.6153522298276,753.1145176632785,754.1945845097138,12079601902.024046,16023425.57898909,0.00011181311966423912
