"Date","Price (Close)","Price (High)","Price (Open)","Price (Low)","Circulating Marketcap","Circulating Supply"
"2017-07-17","0.17317796502615718","0.17354969987354457","0.14686804929539768","0.14467242183859444","2389729171.220471","16266319577.868364"
"2017-07-16","0.14663420160141044","0.1741530091200179","0.17137852830031572","0.12789933372008822","2786136070.6438603","16265972327.628923"
"2017-07-15","0.1715171718832323","0.18457260286228316","0.18318580827595982","0.17025752287061416","2978557280.0489554","16265843620.319485"
"2017-07-14","0.18320834593975305","0.19150604271367905","0.19042122642305387","0.1730844903556921","3099035652.1875625","16265663319.364643"
"2017-07-13","0.19093402300452134","0.21751153629572142","0.1959222203396278","0.17974377761963595","3186707964.555141","16264936200.209805"
"2017-07-12","0.19636962712473355","0.19673094525066998","0.17609043323312748","0.1647784321565277","2861423292.5866337","16264755899.254965"
"2017-07-11","0.17607757970236612","0.19742669601588447","0.1855689437116512","0.15075449300920316","3020035946.574998","16264575598.300123"
"2017-07-10","0.18498953233170023","0.22675302725182261","0.22624039102508792","0.171506415239085","3676713014.5919456","16266339897.345284"
"2017-07-09","0.22594268210842983","0.2477322640592791","0.2299791100484026","0.2253977621582864","3741910504.302684","16266268497.345284"
"2017-07-08","0.230025932892189","0.2330920851966627","0.23020311845032232","0.20360461975859978","3742490437.4490714","16266240897.345284"
"2017-07-07","0.22973101910157367","0.25238423186502473","0.25007851708427764","0.22716207760163534","4066628574.34075","16266189897.345284"
"2017-07-06","0.25016235807197157","0.253478639534989","0.2509895400020028","0.24708107382186084","4071385866.1846557","16265099522.555285"
"2017-07-05","0.250921281341164","0.25752744405191386","0.247566198119327","0.2445136320524745","4012629770.538948","16255085922.555285"
"2017-07-04","0.24722608479384206","0.258259351058771","0.2526357762120575","0.24596139790608973","4111152751.6927752","16250117662.925283"
"2017-07-03","0.25283665455893506","0.2564954501089586","0.2536236780660071","0.24576573194598264","4118356522.2760553","16250091062.925283"
"2017-07-02","0.25353531738998625","0.2585365146774317","0.2358430984950707","0.2338378732213141","3830582627.9273777","16249980462.925283"
"2017-07-01","0.23606014344539128","0.25089184871961057","0.24639599583986388","0.23211358473612798","3999064673.6065264","16249351953.83256"
"2017-06-30","0.24685918165994433","0.2593815892112907","0.2546113122686461","0.24395993197589044","4127984198.223824","16248897664.025642"
"2017-06-29","0.25419545056117965","0.2686218398422785","0.26687410625595065","0.25146915023776506","4342266319.294604","16248375543.588724"
"2017-06-28","0.2663307544039927","0.2694167435852188","0.2631754339457547","0.2478463542363641","4272694181.340954","16247738153.781809"
"2017-06-27","0.2624806150800911","0.2639158325566746","0.2465373817201133","0.22374486722789877","3995958567.180677","16247232963.974892"
"2017-06-26","0.24635666960304997","0.2661422617971999","0.2562085759628963","0.2197740654642982","4165990680.7546096","16246581974.017975"
"2017-06-25","0.256699289383897","0.2796139884558457","0.2749889601618355","0.24803745257711343","4454986788.836184","16245376384.211058"
"2017-06-24","0.2752920170070497","0.302151947012942","0.29143986346590856","0.2649497277355525","4731831109.009546","16244866794.404127"
"2017-06-23","0.2913636516515983","0.2942889665810593","0.2783096208906045","0.275799857366372","4522576247.362185","16244438194.404127"
"2017-06-22","0.2779297271041525","0.28065282422835913","0.2714526840768008","0.26066471457809953","4414101190.320117","16244093194.404127"
"2017-06-21","0.2712816632538546","0.3117346409806562","0.3051005057033163","0.257762999345822","4986339868.606899","16224410794.404127"
"2017-06-20","0.3065430254061113","0.32414640839319914","0.28166982545860764","0.2763214478435647","4573736812.259628","16223889994.404127"
"2017-06-19","0.2817095005816073","0.283004007572818","0.265142617595068","0.25813668479846574","4310139072.903134","16216916679.853067"
"2017-06-18","0.26523495443845757","0.2778467485176817","0.2590284588713471","0.24562694291059112","4194383567.4956565","16216729390.302008"
"2017-06-17","0.259072162184088","0.2648999343848927","0.24945705887617353","0.23897120677978767","4041787324.199831","16216542100.750948"
"2017-06-16","0.2495361217641832","0.25781489080486125","0.24388525257630433","0.2309426353728461","3950460290.5339274","16206272106.334093"
"2017-06-15","0.244400823488654","0.2657115491253121","0.2601066007788618","0.217630125495444","4213669445.3838243","16205815105.847239"
"2017-06-14","0.25962732053432996","0.2962234718392853","0.26294773704521424","0.24750655346140626","4257401168.5652003","16205735933.927238"
"2017-06-13","0.2623853643717775","0.2779897428372813","0.2470856149901089","0.24082567793695525","3993429947.389836","16205507584.615122"
"2017-06-12","0.24682242701443458","0.2828463711299897","0.2710910690520144","0.22956417005159693","4393547317.662369","16204334517.448267"
"2017-06-11","0.2712736812139114","0.27470967153450276","0.25866322009260817","0.25430326605289943","4205863275.9714656","16204064523.031412"
"2017-06-10","0.25888910066199916","0.2856813123591321","0.2802593831940558","0.25331383262478885","4547643573.506187","16203794528.614546"
"2017-06-09","0.27981575980704715","0.29718348683368856","0.2852943005918096","0.2786502599792296","4612228898.8751545","16203305789.328438"
"2017-06-08","0.2847479938869335","0.2986460507804652","0.2753798917120553","0.2677962808702","4447432558.743521","16173160270.04233"
"2017-06-07","0.276165775192777","0.2990142259984824","0.2841524807027328","0.27398430925464823","4581678499.813142","16172976250.04233"
"2017-06-06","0.2834595489108708","0.2936117681866344","0.28100953479814966","0.2735153501360279","4554217951.778951","16241751866.343655"
"2017-06-05","0.2898596810500043","0.2977936771270268","0.2919625075978052","0.2846023005469439","4745395415.534861","16240247427.057535"
"2017-06-04","0.29083749638188844","0.3007513307434965","0.2952682935607842","0.2686292668329244","4794343626.562714","16237333460.356236"
"2017-06-03","0.2934773537367489","0.30568373644376856","0.29154263851431034","0.27326374168743917","4736695731.1856365","16236974926.070118"
"2017-06-02","0.29813737280654934","0.3383998305869556","0.3331073308093106","0.28667687351492965","5407085019.949588","16236605269.553898"
"2017-06-01","0.3333612582738057","0.3402612857869517","0.24771299399777175","0.24477726244300507","4028035917.742993","16234435613.037687"
"2017-05-31","0.2511432872679871","0.25275287020960857","0.20272633138469565","0.2003926599603061","3278597594.3078823","16233690105.001478"
"2017-05-30","0.20159273252774326","0.2393796723626368","0.23064304870596372","0.19865307641656077","3741505602.7359962","16233197959.73527"
"2017-05-29","0.2301391583597902","0.24613536085433046","0.2282026572196884","0.2082565729718675","3685104409.366767","16232828303.21905"
"2017-05-28","0.227534541951821","0.24916642996872848","0.2141184447879933","0.20600505497021193","3481729739.238767","16232458646.70284"
"2017-05-27","0.21086462785620602","0.2883471574275504","0.27393219396399243","0.16961424356924742","4437898402.984179","16232088990.18663"
"2017-05-26","0.27287963200634957","0.3368299126719235","0.26836329888465477","0.2548590136724355","4309764983.175244","16231607452.264141"
"2017-05-25","0.24464226431349284","0.2962237084184784","0.29031692626657263","0.23887512078815631","4706866202.413805","16231125914.341654"
"2017-05-24","0.28941083579171517","0.3470766091682778","0.32221657914816737","0.28711741452714495","5237885847.169973","16230644376.419165"
"2017-05-23","0.3203301439180802","0.3560683493679617","0.299438083716786","0.2845532967081225","4829375239.489994","16230291145.046675"
"2017-05-22","0.2999644524038054","0.33909778125385465","0.3265109503118815","0.2634167732448617","5281029572.788007","16154440462.604185"
"2017-05-21","0.3265237188593709","0.36587093692110406","0.34508452672948975","0.32090021002556135","5572946686.371653","16153696624.681698"
"2017-05-20","0.34313064612980415","0.368254877401886","0.3212825870189246","0.2915636229630816","5179530303.5929985","16133006421.679195"
"2017-05-19","0.3189336512372237","0.36026995125313077","0.357765992097279","0.2865500219364667","5749709288.772695","16122185231.45526"
"2017-05-18","0.35854215414361934","0.3991654276908648","0.3885288069116537","0.3087563404229039","6287802837.195376","16121653941.231321"
"2017-05-17","0.39234234338786445","0.42146911357817074","0.38144776991886703","0.34017784367140386","6134435798.208361","16100922651.007385"
"2017-05-16","0.33946283991655946","0.3394745250052034","0.26998118762875795","0.26720046887531146","4334114177.70022","16080382513.92345"
"2017-05-15","0.262960900379601","0.26326916104755566","0.21990498612232484","0.21840708359988495","3526523267.6734114","16059372614.25345"
"2017-05-14","0.21953810025319362","0.2260072732993143","0.21363613033443996","0.20884602625076742","3408401560.8677588","16038485049.473282"
"2017-05-13","0.21463371373752313","0.22620254199800363","0.20932292126241486","0.17436997636871168","3360392951.054225","16037798459.249344"
"2017-05-12","0.19594424306166272","0.20996376073510756","0.1846501536932138","0.18344760336023555","2961210477.7009873","16037047179.51647"
"2017-05-11","0.18381469475625933","0.194536585323616","0.1892350204331436","0.16350497569641018","2997482995.5172753","15893419066.543596"
"2017-05-10","0.18859588996882878","0.20031115914739697","0.15664606420716629","0.15001596527406771","2489036220.8200483","15893160666.543596"
"2017-05-09","0.16283775324212843","0.21088888140355833","0.1996063248510202","0.12706709106727895","3157014804.2570863","15892149569.521181"
"2017-05-08","0.1875159324145392","0.23268662481013186","0.13845178339638142","0.13185460872547564","2197372427.159854","15812641153.858812"
"2017-05-07","0.1395094523091217","0.1518717656504385","0.10154022595234967","0.09819921211773558","1604246938.229331","15783211154.612309"
"2017-05-06","0.10186746403276602","0.10548442228468859","0.09243808819026571","0.09183826660977171","1445105040.8036976","15762065269.879435"
"2017-05-05","0.09298528500538512","0.10538077898768776","0.08113678800086442","0.07817234544708081","1278001609.3705804","15761322575.298803"
"2017-05-04","0.08082872738468956","0.08504636109806073","0.06309530150477943","0.06054481002656336","993056216.1269239","15716241934.286745"
"2017-05-03","0.06282234693802896","0.06386315886164931","0.05502126184154599","0.05260747000940138","876068193.1517301","15715161279.706116"
"2017-05-02","0.055093557316707883","0.056999205466733364","0.05497371986735961","0.05123843473054372","858631722.7757695","15714229705.117872"
"2017-05-01","0.054919196802124516","0.060399306270005705","0.05330922437182189","0.04881038432853455","840579123.1187116","15712883448.537241"
"2017-04-30","0.053131128250282156","0.057241790356667384","0.05442288661093275","0.04978556423415713","857264085.5376558","15711889533.95661"
"2017-04-29","0.05507479069165963","0.05891222640308235","0.045423912099670574","0.04531479862203645","712709835.3778352","15711235279.375978"
"2017-04-28","0.04554773314151608","0.04666474279191799","0.03560110590647501","0.03525099542140842","569457491.210932","15710177372.837164"
"2017-04-27","0.03611077774751042","0.037007908016025756","0.03311473868441687","0.03222205162288525","519649427.95620793","15708831806.522074"
"2017-04-26","0.033109225418669834","0.03472027408203931","0.033180191888212814","0.03234125656204274","519664817.50054204","15708113859.026985"
"2017-04-25","0.03316454659565083","0.03538639341133267","0.03226290972898455","0.031311804978360246","503236518.1546988","15707198718.871897"
"2017-04-24","0.03226425151542457","0.033546345434865205","0.033546345434865205","0.031107543013151558","513910965.79846627","15636249609.706806"
"2017-04-23","0.03308679639031812","0.034663434604331946","0.032941443967701226","0.03125259173815447","516682058.7530353","15635682382.211718"
"2017-04-22","0.033059795506873754","0.035093146","0.033352286030605104","0.03135857407997611","523578533.3009594","15635287454.716629"
"2017-04-21","0.03334822487068721","0.035752550865169194","0.030585781448253375","0.029899225033776167","478274863.2459865","15633944439.146282"
"2017-04-20","0.030702641497167647","0.031283231110260865","0.030231742054637037","0.027144931173570575","473080254.3742233","15632221383.575937"
"2017-04-19","0.03000303872702241","0.034078091717548796","0.033584141447986264","0.028861127334562555","526768314.75348663","15630397328.00559"
"2017-04-18","0.033575593615968666","0.035173445776788645","0.03397028713833324","0.03237929293442806","531750712.5245602","15628783452.435246"
"2017-04-17","0.0339000105146727","0.034530939828966156","0.03345523332675731","0.03269435232292956","524068202.79544836","15627297396.864899"
