"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2018-08-21","6475.010421437886","6503.574965593387","6240.284915733449","6250.317564272612","107802858021.45238","17228954.63613278"
"2018-08-20","6254.8325920635625","6526.865328462684","6218.6229387714375","6479.707276223977","111715408983.5393","17227104.43048666"
"2018-08-19","6481.185378530065","6547.722851475774","6315.341171401524","6389.944328792231","110127307338.19101","17225229.19956647"
"2018-08-18","6399.146178408918","6616.69801158995","6304.923631865761","6579.470093248177","113411416554.81044","17223416.53732026"
"2018-08-17","6580.266691324611","6588.762657840098","6287.264225580873","6312.293133448546","108749785585.9019","17221416.36651573"
"2018-08-16","6311.378236097398","6475.526635553201","6208.708601322198","6271.413691213707","107978145439.99861","17219516.07250697"
"2018-08-15","6271.331545709298","6631.136544560517","6181.117062851394","6191.69720470878","106603272764.99243","17217540.84258695"
"2018-08-14","6192.3701624875575","6265.673256067473","5889.243741846755","6249.485286016501","107641312068.28493","17215528.078267"
"2018-08-13","6249.169357619763","6542.926273585085","6143.573369175298","6313.7798698554925","108680446907.26079","17213827.64865714"
"2018-08-12","6308.708335403284","6490.619060952404","6158.707531601992","6236.337643219704","107300741372.59673","17211952.39236815"
"2018-08-11","6239.298029950807","6492.434582050339","5991.538902109098","6150.721456427231","105754831211.27336","17210014.76431619"
"2018-08-10","6142.7628210462535","6573.603832266687","6015.376788414747","6528.758637867847","112512059061.64911","17207889.57421019"
"2018-08-09","6530.244086109338","6625.192398172094","6181.918833744816","6275.85207899839","108072742367.93698","17205689.37533547"
"2018-08-08","6279.181780782273","6721.056001257415","6123.274336530608","6716.0055698591","115577182563.62308","17203826.47712999"
"2018-08-07","6709.275926615325","7137.983936876028","6672.67594894176","6926.00843312865","119356167106.50523","17201863.61506013"
"2018-08-06","6926.952828303679","7158.585010975372","6842.009469881063","7023.591601942244","120861453852.5887","17199975.78262802"
"2018-08-05","7026.361040551244","7090.363145852727","6889.516278889769","7013.5231793699695","120580334224.68915","17198338.00307112"
"2018-08-04","7006.306355360672","7489.047156024648","6930.8410606284615","7414.009620963914","127552532622.27501","17196337.86460568"
"2018-08-03","7406.769984280596","7534.848573132684","7270.9029062056925","7533.534775375365","129548994695.62561","17194137.52866541"
"2018-08-02","7521.23830889794","7707.397737187346","7452.244888705958","7605.73617194888","130733369560.06331","17192062.29021025"
"2018-08-01","7594.958458310144","7755.860752663137","7428.253110451711","7733.600021824015","132874185803.54938","17190149.37302768"
"2018-07-31","7722.164874503835","8174.56046293422","7508.920384616117","8169.121407020115","140473725231.93365","17188274.05892439"
"2018-07-30","8161.499852797072","8291.217252907269","7858.78749950346","8217.994328450519","141238682018.69247","17186436.28788758"
"2018-07-29","8192.024525089791","8293.424052964667","8115.431181696719","8223.893897828879","141485154929.85455","17184761.03736863"
"2018-07-28","8229.540422393922","8252.032544726197","8057.506839663018","8183.977577909242","140619414870.00653","17182635.79247348"
"2018-07-27","8154.842248888981","8282.67358294093","7798.0562270710925","7928.740049701175","136304226886.64034","17180823.05437095"
"2018-07-26","7922.838731251675","8309.03524990616","7848.438415225279","8170.255323329562","140358703116.64157","17178735.06618622"
"2018-07-25","8151.603427047543","8482.906187601238","8053.135931220074","8402.407231393652","144353115711.2449","17176671.97359411"
"2018-07-24","8392.926480521604","8493.05979562291","7687.822218867426","7710.056865574383","132549188167.65784","17174459.07704516"
"2018-07-23","7713.091631849432","7808.820813285316","7368.191051450746","7396.2806454448255","127043821896.86234","17172471.29624587"
"2018-07-22","7389.766522662501","7571.52083378735","7332.813380012283","7400.741243998722","127106974638.22478","17170396.08199592"
"2018-07-21","7399.451252512507","7452.852950251239","7209.466227771742","7329.7055438033585","125836461817.88028","17168120.93253314"
"2018-07-20","7325.628550460318","7684.616417976609","7266.19476618197","7471.768130939679","128275181780.50154","17166408.19313184"
"2018-07-19","7469.890720224073","7566.696861653654","7274.555636980678","7371.012393723321","126682005422.51965","17164482.71581225"
"2018-07-18","7373.711268835717","7583.77131492179","7232.970322136234","7316.162438046666","125578645607.6681","17162344.59989026"
"2018-07-17","7314.950971472621","7444.196181835438","6655.459405006817","6728.472492754397","115437236865.92918","17160169.4013959"
"2018-07-16","6725.842455967928","6750.1484863733185","6313.123991738412","6348.329101381272","108926257765.6638","17158181.65546894"
"2018-07-15","6346.700581790258","6389.630837718949","6230.541736768145","6250.777119559412","107217809102.64195","17156681.48099942"
"2018-07-14","6246.51901034438","6321.185497096524","6177.209724829635","6221.690153073989","106653224062.72194","17155018.66063927"
"2018-07-13","6216.173144978377","6339.743106324064","6106.018998122283","6239.166864378629","107163269221.62405","17153355.55744021"
"2018-07-12","6243.7568348149425","6381.912310439247","6077.163389902877","6377.022954017906","109424449602.9133","17151567.63238177"
"2018-07-11","6378.299352000012","6402.48064775819","6264.913138056696","6298.101499659881","108094980040.6919","17149804.7697367"
"2018-07-10","6298.4750098936265","6682.82121971058","6262.289728607802","6652.693984732272","114305150972.35129","17148117.00666611"
"2018-07-09","6659.425927034463","6797.37334514708","6607.217159307698","6700.110207555226","114984181612.76935","17146254.17458845"
"2018-07-08","6701.16778321478","6779.307890049228","6669.572207962804","6749.909331813723","115863262353.68394","17144553.99783957"
"2018-07-07","6750.234462655218","6819.043499649157","6500.922822869935","6598.599536735287","113178422958.24023","17142578.88746101"
"2018-07-06","6599.841501757548","6632.553170974321","6439.755087520197","6529.716179801907","111970343450.89972","17140628.55523915"
"2018-07-05","6526.780080247801","6704.089372911552","6436.447785974586","6583.284201388561","112884774215.72557","17138628.35459457"
"2018-07-04","6584.309037828624","6783.640622878592","6404.053056742559","6502.915007536169","111502133573.96954","17136915.57821711"
"2018-07-03","6506.556366577845","6671.910715988146","6469.49001730281","6614.72029805105","113335221443.64563","17135240.34876412"
"2018-07-02","6613.141423020882","6678.512195663288","6270.765396101369","6347.938633526008","108766559428.3239","17133790.07010348"
"2018-07-01","6350.117194916551","6433.195801060698","6252.926581042566","6385.024382248911","109454777695.02086","17132027.3182307"
"2018-06-30","6385.492545407347","6531.50427006266","6191.878785990073","6203.726402714494","106281332415.25642","17130189.67606483"
"2018-06-29","6193.681451233859","6308.445138427567","5782.687146871647","5851.698997534302","100207200358.84352","17128426.98733377"
"2018-06-28","5848.663158250733","6170.030644022841","5822.118801551165","6135.3387169734115","105052173159.27437","17126539.21412217"
"2018-06-27","6135.491617835376","6188.441503116433","5982.996405266774","6073.260413853833","104001731841.52797","17124576.47363656"
"2018-06-26","6070.8459447525","6274.265341820347","6043.185572350458","6248.640975187636","107007002842.65004","17123063.678124"
"2018-06-25","6248.476257568646","6343.994880851595","6074.482796891338","6147.597729032152","105290523347.3541","17121238.25453947"
"2018-06-24","6148.179338804621","6258.723041444079","5763.371760353986","6158.922359856713","105471607434.41707","17119275.3289737"
"2018-06-23","6158.964623457399","6261.1167237222235","6024.563450714518","6051.968315415929","103545517219.15608","17117137.52813558"
"2018-06-22","6049.584728614917","6730.968725906325","5932.619370428309","6717.074747333967","114958547933.41243","17115137.22414842"
"2018-06-21","6717.466309132553","6790.127551496769","6680.892323493064","6756.626791607011","115673745109.99144","17113248.88572501"
"2018-06-20","6756.683501354437","6812.468240822237","6554.533996903074","6734.644111519647","115230519178.77124","17111123.39752889"
"2018-06-19","6735.15223843805","6841.642074631281","6658.079760192699","6708.269047148473","114798126526.916","17109182.80731632"
"2018-06-18","6705.552484999506","6807.471956986439","6378.101328514242","6444.93168317245","110274094052.05424","17107244.8948214"
"2018-06-17","6447.045695917027","6573.705629790781","6425.15590882142","6489.893676002972","111001395493.96902","17105194.70047542"
"2018-06-16","6485.210311019783","6554.603120976031","6330.589044876026","6384.7326705269425","109254641051.1633","17103232.02930712"
"2018-06-15","6389.687401856953","6661.528340405797","6337.104665338038","6637.201041026758","113502056881.90059","17101156.84268502"
"2018-06-14","6639.612463751506","6722.92758153863","6269.0105325004515","6298.533428239918","107696017420.8531","17099243.9830553"
"2018-06-13","6297.914370733632","6622.643309577599","6124.026051835819","6539.702080913151","111936083515.45374","17097331.13587072"
